Nombre,Municipio,lat,lon,web,info_words
Mirador del Molino,Barlovento,28.831786863780003,-17.80857187012742,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/mirador-del-molino/,89
Parque Los Álamos,Breña Alta,28.667506553319836,-17.787798473795196,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/parque-los-alamos/,70
Llano de La Venta,Breña Baja,28.61366162861887,-17.823089757860945,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/llano-de-la-venta/,77
LLano del Jable,El Paso,28.61739793193836,-17.84860803301157,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/llano-del-jable/,69
Volcán de San Antonio,Fuencaliente,28.48638415212131,-17.848350046371984,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/volcan-de-san-antonio/,67
Buracas,Garafía,28.789039649192613,-17.976023890435407,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/mirador-de-buracas/,89
Puerto Naos,Los Llanos de Aridane,28.586379150614846,-17.910401780005476,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/puerto-naos/,91
Montaña Miraflores,Puntagorda,28.76720609787184,-17.982854183667,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/montana-de-miraflores/,91
Salto del Enamorado,Puntallana,28.767078090029305,-17.7566954214397,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/mirador-salto-del-enamorado/,78
Monumento al Infinito,San Andrés y Sauces,28.750533736668334,-17.83520267514687,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/monumento-al-infinito/,83
Pico Cruz  Sur,San Andrés y Sauces,28.75353055639044,-17.851961111278637,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/pico-cruz-sur/,29
Barranco del Carmen,Santa Cruz de La Palma,28.695264187155008,-17.760649757687766,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/barranco-del-carmen/,88
San Borondon,Tazacorte,28.60668744093381,-17.92242829291395,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/san-borondon/,69
La Muralla,Tijarafe,28.728198049726487,-17.962934117743526,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/la-muralla/,69
Montaña Las Toscas,Villa de Mazo,28.606818168373643,-17.785638162755717,https://www.starsislandlapalma.es/caminar-y-observar/miradores-astronomicos/montana-las-toscas/,97
